Comment ID,Likes,Text
99,2,@s.g3452 easier said than done...look this up &#39;amha marathyancha mendu gudghya madhe asto&#39; and all Marathas will find this funny and true in some sense...the thing is most Maharashtrians are highly laid-back pessimists...when opportunities are offered their response 99% of times is &#39;baghu&#39; or &#39;we will see in the future&#39;
100,2,"@kumarjagtap1885 ohh jagtap, india la develop vhaycha asel tr up Bihar develop vhaylach hava (25% of India&#39;s population).. development ala ki apop gunda gardi kami hote...apla Maharashtra tyacha uttam udharan ahe...tasa hi Maharashtra madhe bollywood aslya mule marathi picture mar khatat...south kade bagh...tyana kahi ghena dena nai hindi cinema kade...tyanche regional movies (eg. Bahubali and Rajnikanth) are earning as much as bollywood...up walyana swatchi industry milali tr tyancha pan bhala hoil na?"
101,2,"And 4 years later after the death of Malik Ambar, the greatest Maratha King was born"
102,2,"one of the best movies I have seen in 2016, u have to watch it with ur father, all kinds of drama from a big joint family"
103,2,@vkfromvijayanagara5063 yea he said he knew french as well...my family was astonished
104,2,@intannera30 it&#39;s business... abra was seeing his team&#39;s brand value dropping a lot with those losses... Chelsea needs a cup this year...and abra wants roi after spending 200+ million
105,2,@M.Abbas7944India has strategic interests…there are no friends in Geo-politics
106,2,"<a href=""https://www.youtube.com/watch?v=V_jb7iKmP2A&amp;t=569"">9:29</a><br>Arnub: (hits blunt)<br>This is a conspiracy<br>😂😂😂"
107,2,This time no rasgulla...Only Vada-Pav!!!
108,2,@vinayakzanjad1534 kamathipura kai ahe mg? Devasthan ahe ka te?
109,2,Hindi think ahe…aata Marathi Shikha…Aaji la lai bhari vatel…and it’s not that difficult after learning Hindi.
110,2,"It’s going to be 400th Anniversary of Raje in 2030. Hopefully, ShivSmarak is inaugurated on 19th Feb 2030. Jai Bhavani!"
111,2,"@imu70-j2s that&#39;s the thing, as Hindus, books are just guidelines...it&#39;s up to the individual if they want to follow it..."
112,2,Mumbai winning both ipl and isl league!❤️ Jai Maharashtra!
113,2,"Completed this using list comprehensions, thanks a million for this effort!"
114,2,"Hey Amir, what if I have n number of inserts? in the above example, you are assuming that there are the 2 values that would be inserted."
