Comment ID,Likes,Text
UgyijHIf1mGvGbv0DVh4AaABAg.9FTx_KUy1NG9G5DyDxE8j_,13,Another factor is education after independence...our schools didn&#39;t have the best facilities but had top-notch faculties whom would be respected throughout the village or town
Ugxw5kjVJE1Ipit19y14AaABAg.9G7cdL3H1fp9G7w7_S5xES,12,Journalism se jyada jaan pyari!!!
Ugw7na2GgK90wL5lBkx4AaABAg.9HXrAaC-O5v9H_Tud66JBP,12,@Parzival711-x7i how legit is the content on these channels?
Ugw3FtP6s7gOSn_z8D14AaABAg.9gdv7gtbkYp9ggssWrB-BU,12,"@vl hc it&#39;s interesting that you brought up Kardashev&#39;s scale. Currently i would say per capita energy consumption of Americans is higher than a Chinese citizen&#39;s. However, i would not consider it optimal use of energy or signs of sustainable development if one is going to use a Ford F150 to grab milk and eggs from the local grocery store."
UgyUeOXXnIYamvLq8DZ4AaABAg.A2PlLlP7VNGA2QLouzDOee,11,Where else would they protest? Why does VW already believe people have forgotten about the Diesel-Gate?
UgyQTpZL2LudfWhMXnN4AaABAg,10,This dude came here with Data! Love this. I am going to download as many infographics as possible from this podcast. So much to learn.
UgxY3B_R5SUlWnez2wF4AaABAg,10,"Please don’t blatantly break rules <a href=""https://www.youtube.com/watch?v=PmBBoACfW24&amp;t=36"">0:36</a>. The country already has a huge problem related to drunk driving and open liquor in vehicles. As an influencer please be more responsible."
UgzNlRarw83Rwh1mCd14AaABAg,10,"So if I&#39;m a Muslim and I don&#39;t fast in Ramadan, is it a crime??"
UgwAq9AMUtfFiGs9Y2B4AaABAg,10,"Malik Ambar is a hero for Maharashtra. He inspired the Marathas, especially Chhatrapati Shivaji Maharaj to be independent, independence from Adil-Shahi, independence from Mughals. ‘Sivabharata’ is court poetry giving due respect to great hero’s of Maharashtra, which includes Malik Ambar."
Ugxzs5JIWwsZP7oq-fd4AaABAg.A21Ny2K7XrxA22iWXPz3gp,9,"and it will cool down in 5mins...that has been the problem with us since the invasion of our brothers in Persia, than in Sindh, Kashmir, than in Delhi, now Bengal and Kerala. Hum bas baithe rahenge, videos banaynge, editted shorts dalenge, but reality is Bharat will stop to exist by the end of the century."
